Approach, Missing Data Mechanism, Missing Ratio, RMSE
GAINCredit,MCAR,0.1,0.0567993337
MostFrequent,MCAR,0.1,0.2089459903
MeanImputation,MCAR,0.1,0.0701251325
MICE,MCAR,0.1,0.0538272294
MissForest,MCAR,0.1,0.0319602928
GAINCredit,MCAR,0.3,0.0744767169
MostFrequent,MCAR,0.3,0.1195328108
MeanImputation,MCAR,0.3,0.0648709565
MICE,MCAR,0.3,0.0558283686
MissForest,MCAR,0.3,0.0355072876
GAINCredit,MCAR,0.5,0.2019225132
MostFrequent,MCAR,0.5,0.1078026224
MeanImputation,MCAR,0.5,0.0728001911
MICE,MCAR,0.5,0.0575645331
MissForest,MCAR,0.5,0.039354791
GAINCredit,MCAR,0.7,0.1171146046
MostFrequent,MCAR,0.7,0.3396694702
MeanImputation,MCAR,0.7,0.240991418
MICE,MCAR,0.7,0.0622065857
MissForest,MCAR,0.7,0.0452593685
GAINCredit,MAR,0.1,0.0722136979
MostFrequent,MAR,0.1,0.9350432093
MeanImputation,MAR,0.1,0.2318638534
MICE,MAR,0.1,0.0781264034
MissForest,MAR,0.1,0.049168739
GAINCredit,MAR,0.3,0.2162416375
MostFrequent,MAR,0.3,0.2542287585
MeanImputation,MAR,0.3,0.1503469727
MICE,MAR,0.3,0.0335503612
MissForest,MAR,0.3,0.0244276975
GAINCredit,MAR,0.5,0.0731233174
MostFrequent,MAR,0.5,0.5416787642
MeanImputation,MAR,0.5,0.4216971067
MICE,MAR,0.5,0.0441410171
MissForest,MAR,0.5,0.0303102734
GAINCredit,MAR,0.7,0.2484875023
MostFrequent,MAR,0.7,0.6706258828
MeanImputation,MAR,0.7,0.6245857339
MICE,MAR,0.7,0.0660550889
MissForest,MAR,0.7,0.0492494325
GAINCredit,MCAR,0.1,0.068979937
MostFrequent,MCAR,0.1,0.1470699718
MeanImputation,MCAR,0.1,0.0643241141
MICE,MCAR,0.1,0.0539046296
MissForest,MCAR,0.1,0.0332548168
GAINCredit,MCAR,0.3,0.0672347538
MostFrequent,MCAR,0.3,0.8548755341
MeanImputation,MCAR,0.3,0.2623651807
MICE,MCAR,0.3,0.0554142677
MissForest,MCAR,0.3,0.0351283288
GAINCredit,MCAR,0.5,0.0867050175
MostFrequent,MCAR,0.5,0.292183823
MeanImputation,MCAR,0.5,0.1539055338
MICE,MCAR,0.5,0.0579029434
MissForest,MCAR,0.5,0.03812747
GAINCredit,MCAR,0.7,0.1067450401
MostFrequent,MCAR,0.7,0.1590133629
MeanImputation,MCAR,0.7,0.1183252194
MICE,MCAR,0.7,0.062643459
MissForest,MCAR,0.7,0.0459677061
GAINCredit,MAR,0.1,0.0303516447
MostFrequent,MAR,0.1,0.9166721933
MeanImputation,MAR,0.1,0.2998321837
MICE,MAR,0.1,0.0351851153
MissForest,MAR,0.1,0.0225645164
GAINCredit,MAR,0.3,0.0385907769
MostFrequent,MAR,0.3,0.5911093234
MeanImputation,MAR,0.3,0.4624129184
MICE,MAR,0.3,0.0287451648
MissForest,MAR,0.3,0.019259134
GAINCredit,MAR,0.5,0.3608526666
MostFrequent,MAR,0.5,0.419238913
MeanImputation,MAR,0.5,0.3115103012
MICE,MAR,0.5,0.0670708167
MissForest,MAR,0.5,0.0465384933
GAINCredit,MAR,0.7,0.1015406389
MostFrequent,MAR,0.7,0.1321912774
MeanImputation,MAR,0.7,0.1225459586
MICE,MAR,0.7,0.0669833484
MissForest,MAR,0.7,0.0494503228
GAINCredit,MCAR,0.1,0.0955943594
MostFrequent,MCAR,0.1,0.2170966405
MeanImputation,MCAR,0.1,0.0690483709
MICE,MCAR,0.1,0.0538973913
MissForest,MCAR,0.1,0.0326448839
GAINCredit,MCAR,0.3,0.1039100479
MostFrequent,MCAR,0.3,0.108047235
MeanImputation,MCAR,0.3,0.0630740081
MICE,MCAR,0.3,0.0549492106
MissForest,MCAR,0.3,0.0346953596
GAINCredit,MCAR,0.5,0.228931114
MostFrequent,MCAR,0.5,0.5955172793
MeanImputation,MCAR,0.5,0.3026353167
MICE,MCAR,0.5,0.0577051188
MissForest,MCAR,0.5,0.0387403977
GAINCredit,MCAR,0.7,0.2280979546
MostFrequent,MCAR,0.7,0.5990384277
MeanImputation,MCAR,0.7,0.4215314085
MICE,MCAR,0.7,0.062755199
MissForest,MCAR,0.7,0.0459589795
GAINCredit,MAR,0.1,0.0697868442
MostFrequent,MAR,0.1,0.0627460478
MeanImputation,MAR,0.1,0.0427110292
MICE,MAR,0.1,0.03129631
MissForest,MAR,0.1,0.0205874201
GAINCredit,MAR,0.3,0.0295485522
MostFrequent,MAR,0.3,0.2418924949
MeanImputation,MAR,0.3,0.1403554946
MICE,MAR,0.3,0.026559674
MissForest,MAR,0.3,0.0171220349
GAINCredit,MAR,0.5,0.3393902392
MostFrequent,MAR,0.5,0.3597662853
MeanImputation,MAR,0.5,0.3220902136
MICE,MAR,0.5,0.0281507735
MissForest,MAR,0.5,0.0208075999
GAINCredit,MAR,0.7,0.3934223387
MostFrequent,MAR,0.7,0.8286833574
MeanImputation,MAR,0.7,0.7263154691
MICE,MAR,0.7,0.0766414412
MissForest,MAR,0.7,0.0550510021
GAINCredit,MCAR,0.1,0.0641228638
MostFrequent,MCAR,0.1,0.1859590344
MeanImputation,MCAR,0.1,0.0677239828
MICE,MCAR,0.1,0.0528942494
MissForest,MCAR,0.1,0.0323678047
GAINCredit,MCAR,0.3,0.084234578
MostFrequent,MCAR,0.3,0.1251604153
MeanImputation,MCAR,0.3,0.0659299506
MICE,MCAR,0.3,0.0558862452
MissForest,MCAR,0.3,0.0360713307
GAINCredit,MCAR,0.5,0.1621925224
MostFrequent,MCAR,0.5,0.509625835
MeanImputation,MCAR,0.5,0.2596118128
MICE,MCAR,0.5,0.0571952759
MissForest,MCAR,0.5,0.0385509208
GAINCredit,MCAR,0.7,0.0821875595
MostFrequent,MCAR,0.7,0.2884350414
MeanImputation,MCAR,0.7,0.2058752811
MICE,MCAR,0.7,0.0628859898
MissForest,MCAR,0.7,0.0461891879
GAINCredit,MAR,0.1,0.1391126058
MostFrequent,MAR,0.1,0.5683022006
MeanImputation,MAR,0.1,0.1821693115
MICE,MAR,0.1,0.0841703997
MissForest,MAR,0.1,0.0521505369
GAINCredit,MAR,0.3,0.0312554528
MostFrequent,MAR,0.3,0.7725107004
MeanImputation,MAR,0.3,0.4380573582
MICE,MAR,0.3,0.0322648505
MissForest,MAR,0.3,0.0215151413
GAINCredit,MAR,0.5,0.1394065457
MostFrequent,MAR,0.5,0.1967716472
MeanImputation,MAR,0.5,0.1762580509
MICE,MAR,0.5,0.0725387552
MissForest,MAR,0.5,0.0518565523
GAINCredit,MAR,0.7,0.2188205943
MostFrequent,MAR,0.7,0.6858536528
MeanImputation,MAR,0.7,0.6068458634
MICE,MAR,0.7,0.0673510988
MissForest,MAR,0.7,0.0495116227
GAINCredit,MCAR,0.1,0.0560767719
MostFrequent,MCAR,0.1,0.0847183156
MeanImputation,MCAR,0.1,0.0588878802
MICE,MCAR,0.1,0.0549590298
MissForest,MCAR,0.1,0.0328430528
GAINCredit,MCAR,0.3,0.0563744079
MostFrequent,MCAR,0.3,0.7704142852
MeanImputation,MCAR,0.3,0.2382998697
MICE,MCAR,0.3,0.0555098247
MissForest,MCAR,0.3,0.0350636617
GAINCredit,MCAR,0.5,0.0729710249
MostFrequent,MCAR,0.5,0.613384314
MeanImputation,MCAR,0.5,0.3095090166
MICE,MCAR,0.5,0.0573691952
MissForest,MCAR,0.5,0.0388573761
GAINCredit,MCAR,0.7,0.0879318938
MostFrequent,MCAR,0.7,0.8335818619
MeanImputation,MCAR,0.7,0.5854078578
MICE,MCAR,0.7,0.0625444084
MissForest,MCAR,0.7,0.0451520486
GAINCredit,MAR,0.1,0.0262501431
MostFrequent,MAR,0.1,0.6324537945
MeanImputation,MAR,0.1,0.1933546331
