approach,mechanism,missingratio,n,nrmse,r2,LR_mse
GAINCredit,MAR,0.1,0,0.0708973899491,0.202419456389,0.00856308545162
GAINCredit,MAR,0.1,1,0.0189742644863,0.172652363862,0.00888267468809
GAINCredit,MAR,0.1,10,0.0619141782672,0.247865307227,0.00807516394041
GAINCredit,MAR,0.1,11,0.0243131112616,0.136044247838,0.00927571138921
GAINCredit,MAR,0.1,12,0.0279673989628,0.176572199031,0.00884059005629
GAINCredit,MAR,0.1,13,0.0273210530567,0.171651913345,0.00889341585189
GAINCredit,MAR,0.1,14,0.0234907723731,0.198869439045,0.00860119959836
GAINCredit,MAR,0.1,15,0.0715303740676,0.23420554437,0.00822181961993
GAINCredit,MAR,0.1,16,0.0276529313093,0.21090918339,0.00847193696717
GAINCredit,MAR,0.1,17,0.0271660491259,0.301863178136,0.007495425146
GAINCredit,MAR,0.1,18,0.0693319795071,0.306961983794,0.00744068270162
GAINCredit,MAR,0.1,19,0.0284402769956,0.203641652174,0.00854996355812
GAINCredit,MAR,0.1,2,0.0273801221663,0.17594140652,0.0088473624509
GAINCredit,MAR,0.1,3,0.0311539711074,0.244861482233,0.00810741398753
GAINCredit,MAR,0.1,4,0.0801746894355,0.166902822614,0.0089444036425
GAINCredit,MAR,0.1,5,0.0198681563089,0.29552008541,0.00756352666312
GAINCredit,MAR,0.1,6,0.0257491699256,0.285722722935,0.00766871434948
GAINCredit,MAR,0.1,7,0.0200048017644,0.198462990946,0.00860556335801
GAINCredit,MAR,0.1,8,0.0536392577603,0.303380227853,0.00747913760431
GAINCredit,MAR,0.1,9,0.0265200908519,0.165330534836,0.00896128423808
GAINCredit,MAR,0.3,0,0.0689616836597,0.515293343608,0.00520396911748
GAINCredit,MAR,0.3,1,0.0878472676624,0.179925558934,0.00880458728813
GAINCredit,MAR,0.3,10,0.0617722705664,0.209670606879,0.0084852347295
GAINCredit,MAR,0.3,11,0.061405810656,0.239806370833,0.00816168731607
GAINCredit,MAR,0.3,12,0.0327878612231,0.259053707359,0.00795504161902
GAINCredit,MAR,0.3,13,0.0568730711006,0.214439171642,0.00843403785932
GAINCredit,MAR,0.3,14,0.151696259692,0.164620688097,0.00896890538472
GAINCredit,MAR,0.3,15,0.0550731577706,0.127479733984,0.00936766280975
GAINCredit,MAR,0.3,16,0.02618319182,0.19156918258,0.00867957753827
GAINCredit,MAR,0.3,17,0.0658438498614,0.238143878732,0.00817953637475
GAINCredit,MAR,0.3,18,0.0294379919876,0.269503653502,0.00784284758105
GAINCredit,MAR,0.3,19,0.0824370049492,0.176620067235,0.0088400761276
GAINCredit,MAR,0.3,2,0.0340344144232,0.150173836929,0.00912401150165
GAINCredit,MAR,0.3,3,0.0617722332368,0.125671148538,0.00938708037434
GAINCredit,MAR,0.3,4,0.059803941644,0.449824533037,0.00590686367004
GAINCredit,MAR,0.3,5,0.0330135597637,0.182309252194,0.00877899517805
GAINCredit,MAR,0.3,6,0.0497621533294,0.605399166552,0.00423656354604
GAINCredit,MAR,0.3,7,0.0322294598258,0.331749497362,0.00717455585272
GAINCredit,MAR,0.3,8,0.0556658536108,0.226485692188,0.00830470247664
GAINCredit,MAR,0.3,9,0.064758553447,0.467852296391,0.00571331170925
GAINCredit,MAR,0.5,0,0.0953285074516,-0.0903047380136,0.0117058680966
GAINCredit,MAR,0.5,1,0.0617726061646,0.231075807965,0.00825542149311
GAINCredit,MAR,0.5,10,0.335053210443,0.535015095074,0.00499222994655
GAINCredit,MAR,0.5,11,0.101540519169,0.258475405854,0.00796125045303
GAINCredit,MAR,0.5,12,0.0472725905711,0.410782913899,0.00632602725612
GAINCredit,MAR,0.5,13,0.203142982193,-0.397508500381,0.0150041081167
GAINCredit,MAR,0.5,14,0.444721544569,0.211665853597,0.00846381310847
GAINCredit,MAR,0.5,15,0.220040842034,0.218327391756,0.00839229265708
GAINCredit,MAR,0.5,16,0.0909625185504,0.405775723789,0.00637978608603
GAINCredit,MAR,0.5,17,0.356337842035,0.594069722403,0.00435820016211
GAINCredit,MAR,0.5,18,0.330997229886,-0.170697337766,0.0125689893285
GAINCredit,MAR,0.5,19,0.0319700738373,0.232654785391,0.00823846907529
GAINCredit,MAR,0.5,2,0.258242183839,0.214488439576,0.00843350890268
GAINCredit,MAR,0.5,3,0.132304190027,0.724139988624,0.00296172326296
GAINCredit,MAR,0.5,4,0.299975214888,0.201427749593,0.00857373273998
GAINCredit,MAR,0.5,5,0.194411359224,-0.248503815811,0.0134043451124
GAINCredit,MAR,0.5,6,0.373558752424,-0.387630228838,0.0148980517641
GAINCredit,MAR,0.5,7,0.210776676079,0.201381912294,0.00857422486421
GAINCredit,MAR,0.5,8,0.121922073753,0.227628050084,0.00829243774882
GAINCredit,MAR,0.5,9,0.121453990147,0.558679527036,0.00473816086891
GAINCredit,MAR,0.7,0,0.402802404594,0.239708936807,0.00816273339962
GAINCredit,MAR,0.7,1,0.436980253699,0.178132487737,0.00882383828667
GAINCredit,MAR,0.7,10,0.359514159739,0.180624556613,0.00879708262054
GAINCredit,MAR,0.7,11,0.267531669125,0.608185520515,0.00420664833901
GAINCredit,MAR,0.7,12,0.24076192351,0.412387045592,0.00630880477386
GAINCredit,MAR,0.7,13,0.248007209005,-0.10852844841,0.0119015238089
GAINCredit,MAR,0.7,14,0.411549066213,0.709397030049,0.00312000848581
GAINCredit,MAR,0.7,15,0.247243820612,0.703983059807,0.0031781346402
GAINCredit,MAR,0.7,16,0.190963722872,0.139149411034,0.00924237334203
GAINCredit,MAR,0.7,17,0.291360239669,-0.0731563456186,0.0115217573499
GAINCredit,MAR,0.7,18,0.276283066377,0.579114691994,0.0045187622575
GAINCredit,MAR,0.7,19,0.129433921722,-0.565484931615,0.0168075579953
GAINCredit,MAR,0.7,2,0.10285387003,0.110219557083,0.00955297371145
GAINCredit,MAR,0.7,3,0.115384871832,0.339723834015,0.00708894076754
GAINCredit,MAR,0.7,4,0.332802928193,0.254901485197,0.00799962123355
GAINCredit,MAR,0.7,5,0.120836332511,0.625226861989,0.004023686926
GAINCredit,MAR,0.7,6,0.260041527846,0.517253985769,0.00518291902229
GAINCredit,MAR,0.7,7,0.413858989553,0.19867588561,0.0086032776513
GAINCredit,MAR,0.7,8,0.411847019726,0.56331797199,0.00468836100754
GAINCredit,MAR,0.7,9,0.13789290685,0.606641071092,0.00422323005291
GAINCredit,MCAR,0.1,0,0.0491896251785,0.221829017402,0.00835469805945
GAINCredit,MCAR,0.1,1,0.0696432264637,0.255597191781,0.00799215190023
GAINCredit,MCAR,0.1,10,0.0449459311725,0.279728486038,0.00773307043638
GAINCredit,MCAR,0.1,11,0.0785292753217,0.323301353906,0.00726525788263
GAINCredit,MCAR,0.1,12,0.0583125617841,0.249811965858,0.00805426397698
GAINCredit,MCAR,0.1,13,0.0503266483709,0.255973504187,0.00798811168722
GAINCredit,MCAR,0.1,14,0.0450980225164,0.324874296958,0.00724837025181
GAINCredit,MCAR,0.1,15,0.145711098502,0.104020652626,0.00961952717617
GAINCredit,MCAR,0.1,16,0.0469571237881,0.230534508265,0.00826123306365
GAINCredit,MCAR,0.1,17,0.0463727583842,0.215490707073,0.00842274823118
GAINCredit,MCAR,0.1,18,0.0482635382453,0.253879922251,0.00801058906729
GAINCredit,MCAR,0.1,19,0.0470648171686,0.22336364531,0.00833822179254
GAINCredit,MCAR,0.1,2,0.0493100561135,0.239266652448,0.00816748190908
GAINCredit,MCAR,0.1,3,0.0489353707354,0.387705327971,0.00657379576289
GAINCredit,MCAR,0.1,4,0.0788842542933,0.229095090307,0.0082766871254
GAINCredit,MCAR,0.1,5,0.0429650655115,0.234820960724,0.00821521230877
GAINCredit,MCAR,0.1,6,0.0460493207594,0.207949190474,0.00850371641877
GAINCredit,MCAR,0.1,7,0.052769982447,0.291380365398,0.00760797205047
GAINCredit,MCAR,0.1,8,0.0437051135214,0.301548572174,0.00749880285846
GAINCredit,MCAR,0.1,9,0.0437913015268,0.228991756265,0.00827779655346
GAINCredit,MCAR,0.3,0,0.0635368306273,0.332683670222,0.0071645262675
GAINCredit,MCAR,0.3,1,0.0572348840357,0.30619600275,0.00744890652451
GAINCredit,MCAR,0.3,10,0.296991261177,0.37276692707,0.00673417931844
GAINCredit,MCAR,0.3,11,0.181248467324,0.123358542187,0.00941190927214
GAINCredit,MCAR,0.3,12,0.0547558772027,0.197862487811,0.00861201055598
GAINCredit,MCAR,0.3,13,0.0630367744111,0.486167241363,0.00551667647273
GAINCredit,MCAR,0.3,14,0.0514250338034,0.325064957111,0.00724632326208
GAINCredit,MCAR,0.3,15,0.0624197336541,0.24080093078,0.00815100939535
GAINCredit,MCAR,0.3,16,0.0485912709357,0.397788749178,0.00646553685646
GAINCredit,MCAR,0.3,17,0.0579318817169,0.387261604271,0.00657855972559
GAINCredit,MCAR,0.3,18,0.0953312620988,0.246019282595,0.00809498346434
GAINCredit,MCAR,0.3,19,0.0591698287416,0.200204984882,0.00858686074165
GAINCredit,MCAR,0.3,2,0.196451804065,0.265359191383,0.00788734388122
GAINCredit,MCAR,0.3,3,0.0592386046549,0.348833562812,0.00699113574113
GAINCredit,MCAR,0.3,4,0.198935812249,0.158967693526,0.00902959778244
GAINCredit,MCAR,0.3,5,0.250597857512,0.160568054549,0.00901241578332
GAINCredit,MCAR,0.3,6,0.0662866802038,0.263894771986,0.0079030663666
GAINCredit,MCAR,0.3,7,0.183152986306,0.194501751807,0.00864809251637
GAINCredit,MCAR,0.3,8,0.23961197697,0.146716523134,0.00916113035278
GAINCredit,MCAR,0.3,9,0.0645489175766,0.23501521382,0.00821312674403
GAINCredit,MCAR,0.5,0,0.240304569659,0.0519216226374,0.0101788793937
GAINCredit,MCAR,0.5,1,0.090475402662,0.170318773463,0.00890772887748
GAINCredit,MCAR,0.5,10,0.0936405244852,0.463961921331,0.00575508004769
GAINCredit,MCAR,0.5,11,0.201847599212,0.160163348355,0.00901676084133
GAINCredit,MCAR,0.5,12,0.11369273276,0.123686163916,0.00940839181815
GAINCredit,MCAR,0.5,13,0.0620298538439,0.46987837609,0.00569155905527
GAINCredit,MCAR,0.5,14,0.0488666014503,0.138576986115,0.00924851908309
GAINCredit,MCAR,0.5,15,0.101396038571,0.28358726341,0.00769164134104
GAINCredit,MCAR,0.5,16,0.0703792512482,0.235912154081,0.00820349690017
GAINCredit,MCAR,0.5,17,0.182516777684,0.390778682522,0.00654079922373
GAINCredit,MCAR,0.5,18,0.282447393726,0.550548457749,0.00482545868689
GAINCredit,MCAR,0.5,19,0.106691223339,0.0886325626362,0.00978473874079
GAINCredit,MCAR,0.5,2,0.0712580937408,0.133245341135,0.00930576136655
GAINCredit,MCAR,0.5,3,0.0752340040012,-0.109743459893,0.0119145685694
GAINCredit,MCAR,0.5,4,0.347153560843,0.422174707468,0.0062037212363
GAINCredit,MCAR,0.5,5,0.339865995412,0.429242410688,0.00612784006404
GAINCredit,MCAR,0.5,6,0.252958868227,0.284409775064,0.00768281058704
GAINCredit,MCAR,0.5,7,0.0721753706119,0.0635236142825,0.0100543166186
GAINCredit,MCAR,0.5,8,0.320172632247,0.627002983882,0.00400461790073
GAINCredit,MCAR,0.5,9,0.216019850476,-0.336894448387,0.0143533358393
GAINCredit,MCAR,0.7,0,0.0954987602932,0.306475494617,0.00744590580846
GAINCredit,MCAR,0.7,1,0.276470026553,-0.053439090309,0.0113100664512
GAINCredit,MCAR,0.7,10,0.124453007308,0.266479286273,0.00787531817632
GAINCredit,MCAR,0.7,11,0.0567409510726,0.113551694431,0.00951719879557
GAINCredit,MCAR,0.7,12,0.098114431104,-0.719572356231,0.0184618909584
GAINCredit,MCAR,0.7,13,0.270624472368,0.0231712610771,0.0104875526741
GAINCredit,MCAR,0.7,14,0.118825097562,0.302441509235,0.00748921599426
GAINCredit,MCAR,0.7,15,0.201098430243,0.117384298492,0.00947605070546
GAINCredit,MCAR,0.7,16,0.179894378142,0.313934827226,0.00736581997505
GAINCredit,MCAR,0.7,17,0.185743338211,-0.0117427692442,0.0108624011173
GAINCredit,MCAR,0.7,18,0.179969662867,-0.0145874706915,0.010892942762
GAINCredit,MCAR,0.7,19,0.200455639759,0.30572355436,0.00745397888488
GAINCredit,MCAR,0.7,2,0.0707764650476,0.445747042206,0.00595064094457
GAINCredit,MCAR,0.7,3,0.102231261121,0.44214275379,0.00598933776328
